"Authorization","授权"
"Authorization transaction is required to void.","授权的交易必须无效。"
"Data Transfer Key","数据转换密钥"
"Debug","调试"
"Direct Sale","直销"
"Empty response received from Payment Bridge.","从支付中介获得的响应为空。"
"Enabled","已启用"
"Gateway Basic URL","Gateway Basic URL"
"Gives effect only when payment bridge is active.","只有激活支付桥接时才会生效。"
"IPN postback HTTP error: %s","IPN发布后HTTP错误：%s"
"IPN postback Validation error: %s","IPN发布后验证错误：%s"
"Impossible to issue a refund transaction, because capture transaction does not exist.","无法执行退款交易，因为对应的交易不存在。"
"Maximum data transfer key length is 32. Please correct your settings.","数据传输密钥最大长度为 32。请纠正你的设置。"
"Merchant Code","分行代码"
"Merchant Key","分行密钥"
"Merchant review is required for further processing.","后续操作需卖家复查。"
"Ogone Direct Link","直接链接"
"Original gateway transaction id: #%s.","原始网关交易Id：#%s。"
"Payflow PNREF: #%s.","Payflow PNREF: #%s。"
"Payment Action","支付操作"
"Payment Bridge","支付桥"
"Payment Bridge Selected","所选支付桥"
"Payment Bridge authentication data is not present","支付桥验证数据不存在"
"Payment Method Code is not passed.","支付方式代码未传递。"
"Payment from Applicable Countries","从可接受的国家支付"
"Payment from Specific Countries","从指定的国家支付"
"Payment gateway internal error.","支付网关内部错误。"
"Sale","销售"
"Sort Order","排序顺序"
"Test Mode","测试模式"
"Title","标题"
"Unable to communicate with Payment Bridge service.","无法与支付桥服务通讯。"
"Use via Payment Bridge","通过支付桥使用。"
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #1E75B4"" href=""#"" onclick=""parent.reloadIframe(paymentObj.currentMethod); return false;"">here</a> .","你的支付信息已提交到服务器。如果你需要修改，请点击 <a style=""color: #1E75B4"" href=""#"" onclick=""parent.reloadIframe(paymentObj.currentMethod); return false;"">这里</a>。"
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">here</a> .","你的支付信息已提交到服务器。如果你需要修改，请点击 <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">这里</a>。"
