"Authorization","Berechtigung"
"Authorization transaction is required to void.","Autorisierungstransaktion erforderlich zur Aufhebung."
"Data Transfer Key","Datenübertragungsschlüssel"
"Debug","Fehler beheben"
"Direct Sale","Direktverkauf"
"Empty response received from Payment Bridge.","Leere Antwort von der Zahlungs-Brücke erhalten."
"Enabled","Aktiviert"
"Gateway Basic URL","Gateway Basis-URL"
"Gives effect only when payment bridge is active.","Nur wirksam, wenn das Bezahlungsmodul Payment Bridge aktiv ist."
"IPN postback HTTP error: %s","IPN Postback HTTP Fehler: %s"
"IPN postback Validation error: %s","IPN Postback Validierungsfehler: %s"
"Impossible to issue a refund transaction, because capture transaction does not exist.","Es kann keine Erstattungstransaktion erstellt werden, weil die zu verrechnende Transaktion nicht existiert."
"Maximum data transfer key length is 32. Please correct your settings.","Die maximale Schlüssellänge für Datenübertragung beträgt 32. Bitte passen Sie Ihre Einstellungen an."
"Merchant Code","Händlercode"
"Merchant Key","Händlerschlüssel"
"Merchant review is required for further processing.","Händler-Kritik ist für die weitere Verarbeitung erforderlich."
"Ogone Direct Link","Direktlink Ogone"
"Original gateway transaction id: #%s.","Ursprüngliche Gateway-Transaktions-ID: #%s."
"Payflow PNREF: #%s.","Payflow PNREF: #%s."
"Payment Action","Zahlungsaktion"
"Payment Bridge","Payment Bridge"
"Payment Bridge Selected","Payment Bridge ausgewählt"
"Payment Bridge authentication data is not present","Payment Bridge Authentifizierungsdaten nicht vorhanden"
"Payment Method Code is not passed.","Zahlungsmethode Code nicht durchgeführt."
"Payment from Applicable Countries","Zahlung aus geeigneten Ländern"
"Payment from Specific Countries","Zahlung  aus spezifischen Ländern"
"Payment gateway internal error.","Interner Fehler des Zahlungsgateways."
"Sale","Abverkauf"
"Sort Order","Sortierfolge"
"Test Mode","Testmodus"
"Title","Titel"
"Unable to communicate with Payment Bridge service.","Die Kommunikation mit dem Payment Bridge Dienst ist unterbrochen."
"Use via Payment Bridge","Nutzung über Payment Bridge"
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #1E75B4"" href=""#"" onclick=""parent.reloadIframe(paymentObj.currentMethod); return false;"">here</a> .","Ihre Zahlungsinformationen wurden an den Server übermittelt. Sollten Änderungen erforderlich sein, klicken Sie bitte <a style=""color: #1E75B4"" href=""#"">hier</a> ."
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">here</a> .","Ihre Zahlungsinformationen wurden an den Server übermittelt. Sollten Änderungen erforderlich sein, klicken Sie bitte <a style=""color: #F15A24"" href=""#"">hier</a> ."
