"Authorization","Autorisatie"
"Authorization transaction is required to void.","Vergunning transactie is nodig om te laten vervallen."
"Data Transfer Key","Data Transfer Sleutel"
"Debug","Fouten opsporen in programma"
"Direct Sale","Rechtstreekse Verkoop"
"Empty response received from Payment Bridge.","Lege reactie ontvangen van Payment Bridge."
"Enabled","Ingeschakeld"
"Gateway Basic URL","Gateway Basis URL"
"Gives effect only when payment bridge is active.","Geeft alleen effect wanneer de betalings brug actief is."
"IPN postback HTTP error: %s","IPN postback HTTP Fout: %s"
"IPN postback Validation error: %s","IPN postback Validatie Fout: %s"
"Impossible to issue a refund transaction, because capture transaction does not exist.","Onmogelijk om een restitutie transactie toe te wijzen, omdat ontvangende transactie niet bestaan."
"Maximum data transfer key length is 32. Please correct your settings.","Maximale dataoverdracht sleutellengte is 32. Corrigeer uw instellingen alstublieft."
"Merchant Code","Handelaars Code"
"Merchant Key","Handelaars Sleutel"
"Merchant review is required for further processing.","Beoordeling is nodig voor verdere verwerking."
"Ogone Direct Link","Ogone Directe Link"
"Original gateway transaction id: #%s.","Originele poort transactie id: #%s."
"Payflow PNREF: #%s.","Payflow PNREF: #%s."
"Payment Action","Betaling"
"Payment Bridge","Betalings Brug"
"Payment Bridge Selected","Betalings Brug Geselecteerd"
"Payment Bridge authentication data is not present","Betalings Brug authenticatie van gegevens is niet aanwezig"
"Payment Method Code is not passed.","Betaalmethode code wordt niet doorgegeven."
"Payment from Applicable Countries","Betaling van Geëigende Landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Payment gateway internal error.","Betaling gateway interne fout"
"Sale","Verkoop"
"Sort Order","Sorteer Bestelling"
"Test Mode","Test modus"
"Title","Titel"
"Unable to communicate with Payment Bridge service.","Niet in staat om te communiceren met Payment Bridge service."
"Use via Payment Bridge","Gebruiken via Payment Bridge"
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #1E75B4"" href=""#"" onclick=""parent.reloadIframe(paymentObj.currentMethod); return false;"">here</a> .","Uw betaling is ingediend aan de server. Als u iets wilt veranderen, klik op <a style=""color: #1E75B4"" href=""#""> hier</a>"
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">here</a> .","Uw betaling is ingediend aan de server. Als u iets wilt veranderen, klik op <a style=""color: #F15A24"" href=""#"">hier</a>."
