"%s product requires your attention.","%s 产品需要你的注意。"
"%s product was added to your shopping cart.","%s 产品已经添加到你的购物车。"
"%s products require your attention.","%s 产品需要你的注意。"
"%s products were added to your shopping cart.","%s 产品已添加到你的购物车。"
"%s was added to your shopping cart.","%s 已添加到您的购物车。"
"<span id=""sku-attention-num"">%s</span> product(s) require attention","<span id=""sku-attention-num"">%s</span> 产品需要注意"
"Access denied.","访问被拒绝"
"Action","操作"
"Add Products","添加产品"
"Add Products By SKU","按照 SKU 添加产品"
"Add Products to Order","添加要订购的产品"
"Add Selected Product(s) to Shopping Cart","添加所选产品到购物车"
"Add To Cart","加入购物车"
"Add to Order","加入订单"
"Add to Order by SKU","按照 SKU 加入订单"
"Add to Shopping Cart","加入购物车"
"Add to Shopping Cart by SKU","按照 SKU 加入购物车"
"Allowed file type: csv.<br/>File must contain two columns, with ""sku"" and ""qty"" in the header row.","允许的文件类型： csv.<br/>文件必须包含两列，每一列头部包含文字“sku”与“qty”。"
"An error has occurred. See error log for details.","发生了错误。详情请参考错误日志。"
"Apply","应用"
"Apply Coupon","应用优惠券"
"Apply Coupon Code","应用折价券"
"Are you sure you want to delete all items from shopping cart?","你是否确定要删除购物车中的所有内容？"
"Availability: Out of stock.","库存情况：缺货。"
"Cancel","取消"
"Cannot add product","无法添加产品"
"Cannot configure product","无法配置产品"
"Choose some products to add to shopping cart.","选择要加入购物车的商品。"
"Clear Shopping Cart","清空购物车"
"Configure","配置"
"Coupon code ""%s"" is not valid","优惠券代码 ""%s"" 无效"
"Customer Groups","客户组"
"Customer not found","客户未找到"
"Customers","客户"
"Defines whether a link to My Account > Order by SKU page will be displayed on the widget","决定是否在小工具上显示到 我的账户 > 按照 SKU 订购 页面的链接"
"Disabled products cannot be added.","禁用的产品无法添加。"
"Discount","折扣"
"Display a Link to Loading a Spreadsheet","显示加载电子表格的链接"
"Enable Order by SKU on My Account in Frontend","在前段的我的账户页面启用按 SKU 下单功能"
"Excl. Tax","不含税"
"Failed to add a product of order item","添加产品到订单时失败"
"Failed to reorder item","重新下单失败"
"File","文件"
"File cannot be uploaded.","文件无法上传。"
"File is corrupt.","文件已损坏。"
"File is empty.","文件为空。"
"Get notified when back in stock","到货后获得通知"
"ID","ID"
"Incl. Tax","含税"
"Invalid block: %s.","无效的块： %s。"
"Item was successfully removed.","项目已成功删除。"
"Items were successfully removed.","项目已成功删除。"
"Last ordered items (%s)","上一个下单的产品(%s)"
"Link Text","链接文字"
"Load a list of SKUs","加载 SKU 列表"
"Manage Customers","管理客户"
"Manage Shopping Cart","管理购物车"
"Move to Wishlist","移动到愿望清单"
"No","否"
"No ordered items","无订单项"
"Only %s%g%s left in stock","库存仅剩 %s%g%s 件"
"Only .csv file format is supported.","只支持 .csv 文件格式。"
"Only <span id=""","只有 <span id="""
"Order by SKU","按 SKU 订购"
"Order by SKU Description","按 SKU 描述订购"
"Order by SKU Settings","按 SKU 设置订购"
"Order by SKU Template","按 SKU 模板订购"
"Ordered item id is not received.","订单项编号无法接受。"
"Ordered item is not loaded.","订单项未被加载。"
"Please enter a valid number in the ""Qty"" field.","请在“数量”字段中输入有效数字。"
"Please specify the product\'s options.","请指定产品的选项。"
"Price","价格"
"Product","产品"
"Product Name","产品名"
"Product name","产品名"
"Products","产品"
"Products in the Comparison List (%s)","对比列表中的产品（%s）"
"Qty","数量"
"Qty To Add","添加的数量"
"Quote item id is not received.","报价项编号无法接受。"
"Quote item is not loaded.","报价项未被加载。"
"Recently Compared Products (%s)","最近对比的产品（%s）"
"Recently Viewed Products (%s)","最近查看的产品（%s）"
"Remove","删除"
"Remove All","全部删除"
"Remove Coupon Code","删除折价券"
"Requested quantity is not available.","所需数量不足。"
"Reset","重置状态"
"Row Subtotal","行小计"
"SKU","SKU"
"SKU not found in catalog.","编录中未找到 SKU。"
"SKU: ","SKU："
"Shopping Cart","购物车"
"Shopping Cart Items","购物车项目"
"Shopping Cart Management","购物车管理"
"Shopping Cart for %s in %s","%s 中  %s 的购物车"
"Shopping cart management disabled for this customer.","该顾客的购物车管理功能被禁用。"
"Specify the product\'s options","指定产品的选项"
"Store not found.","未找到店铺。"
"Subtotal","消极"
"Subtotal:","小计："
"The product cannot be added to cart in requested quantity.","所指定数量的该产品无法加入购物车。"
"The product cannot be added to cart.","产品无法加入购物车。"
"The products is assigned to another website.","该产品是分配给其他网站的。"
"The text of the link to the My Account > Order by SKU page","到 我的账户 > 按 SKU 下单 页面的链接文字"
"Total","总数"
"Total %d product(s)","总共%d个产品"
"Total incl. tax","总价含税"
"Update Items and Qty\'s","更新项目与数量"
"View Shopping Cart","查看购物车"
"View and modify Shopping Cart","查看并修改购物车"
"Wishlist (%s)","愿望清单 (%s)"
"Wishlist item id is not received.","愿望清单项编号无法接受。"
"Wishlist item is not loaded.","愿望清单项编号未被加载。"
"Yes, for Everyone","是，适合所有人"
"Yes, for Specified Customer Groups","是，适合指定的客户组"
"You have %d item(s) requiring attention.","你有 %d 个项目需要注意。"
"You have not entered any product sku.","你尚未输入任何产品 SKU。"
"You have not entered any product sku. Please <a href=""%s"">click here</a> to add product(s) by sku.","你尚未输入任何产品 SKU。请<a href=""%s"">点击这里</a>按照 SKU 添加产品。"
